SOURCE,SUBSET,ORDER,slot_group,slot_group_order,slot_usage,name,title,slot_uri,comments,description,examples,in_subset,keywords,multivalued,pattern,range,recommended,required,string_serialization,structured_pattern,Expected_value,Preferred_unit
MimsSedimentAncient,investigation,1,Investigation,1,1,project_name,project name,MIXS:0000092,,Name of the project within which the sequencing was organized,{'value': 'Forest soil metagenome'},investigation,project,,,string,,TRUE,,,,
MimsSedimentAncient,sequencing,2,Investigation,1,2,associated_resource,relevant electronic resources,MIXS:0000091,,"A related resource that is referenced, cited, or otherwise associated to the sequence",{'value': 'http://www.earthmicrobiome.org/'},sequencing,resource,TRUE,,string,TRUE,,,"{'syntax': '^({PMID}|{DOI}|{URL})$', 'interpolated': True, 'partial_match': False}",reference to resource,
Ancient,environment,1,Environment,2,3,orig_site_name,name of site or location where sample originated,MIXS:999999901,,"Designated name of the archaeological or ecological site, ancient settlement, or location etc. where the sample was originally collected. Can be a non-geographical name, such as a field-specific name or code, the official name of an excavation, or a colloquial name that is used in academic literature. Typically names that would not be found on official maps. If the site name is unclear please use the name of the closest location or region as best as possible. Can also include different transliterations or languages used in the literature.","{'value': 'Northern Italy, Lombardy, exact location unknown'}",environment,environment|sample,TRUE,,string,TRUE,FALSE,,,Name of site or location where sample was originated,
Ancient,environment,2,Environment,2,4,orig_site_loc,original site location,MIXS:999999902,,"The original geographical origin of the sample, when sampled outside its original natural environment (e.g. sampled in a museum collection), as defined by the country or sea name followed by specific region name.  Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ).",{'value': 'Northern Italy: Lombardy'},environment,location|site,FALSE,,string,FALSE,FALSE,,"{'syntax': '^{country}: {region}, {specific_location}$', 'interpolated': False, 'partial_match': False}",Name of original geographic origin of the sample,
Ancient,environment,3,Environment,2,5,orig_site_lat,original geographic location (latitude),MIXS:999999903,,"The latitude coordinate of the original geographical origin of the sample, e.g. the original place the sample was buried, deposited, or formed. In cases where the sample was directly sampled in the burial environment for the purposes of scientific investigation, this will be the same as geo_loc_name, and lat_lon.  For samples kept in collections, the geo_loc_name and lat_lon terms are used to refer to the collection where the sample is stored, but this term is used for the original geographic location the sample existed in prior to archiving in a collection (i.e., should correspond to  orig_site_loc, not the collection itself as recorded in site_name). The values should be reported in decimal degrees, limited to 8 decimal points, and in WGS84 system.",{'value': '-0.123'},environment,,FALSE,,string,FALSE,FALSE,,"{'syntax': '^{lat}$', 'interpolated': True, 'partial_match': True}",,
Ancient,environment,4,Environment,2,6,orig_site_lon,original geographic location (longitude),MIXS:999999904,,"The longitude coordinate of the original geographical origin of the sample, e.g. the original place the sample was buried, deposited, or formed. In cases where the sample was directly sampled in the burial environment for the purposes of scientific investigation, this will be the same as geo_loc_name, and lat_lon.  For samples kept in collections, the geo_loc_name and lat_lon terms are used to refer to the collection where the sample is stored, but this term is used for the original geographic location the sample existed in prior to archiving in a collection (i.e., should correspond to orig_site_loc, not the collection itself, as recorded in site_name). The values should be reported in decimal degrees, limited to 8 decimal points, and in WGS84 system.",{'value': '-12.12'},environment,,FALSE,,string,FALSE,FALSE,,"{'syntax': '^{lon}$', 'interpolated': True, 'partial_match': True}",,
Ancient,environment,5,Environment,2,7,past_env_broad,broad-scale past environmental context,MIXS:999999905,,"Report information about the general ancient broad environmental system that the sample or specimen existed or lived within, as it was at the time of deposition or burial (e.g. in the desert or a forest). This should not describe the environment as it is today (e.g. farmland), but specifically the state as it was in the past (i.e. the palaeo- or (pre)historical ecosystem). Compared to `env_broad_scale` which is taken from direct observation, the information about the past environment will normally be derived from inference from archaeological, palaeontological, geological, or other scientific methods. We recommend using subclasses of EnvO s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field for present day equivalents: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS""",{'value': 'dessert biome [ENVO:01000247]'},environment,context|environmental|ancient,,"^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$",string,TRUE,FALSE,,"{'syntax': '^{termLabel} \\[{termID}\\]$', 'interpolated': True, 'partial_match': True}",,
Ancient,environment,6,Environment,2,8,past_env_local,local past environmental context,MIXS:999999906,,"Report information about the smaller-scale environmental system of the local vicinity of the sample or specimen at the time of deposition or burial (e.g. in hillside, burial mound, or midden). This should not describe the environment as it is today (e.g. carpark), but specifically the entity or entities surrounding the sample that may have significant causal influences as it was in the past. Compared to `env_local_scale` which is taken from direct observation, the information about the past environment will normally be derived from inference from archaeological, palaeontological, geological, or other scientific methods. We recommend using EnvO terms which are of smaller than your entry for past_env_broad. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field for present day equivalents: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS""",{'value': 'hillside [ENVO:01000333]'},environment,context|environmental|ancient,,,string,TRUE,FALSE,{termLabel} [{termID}],,Report information about smaller environmental entities having causal influences upon the sample or specimen at/during the time of burial,
Ancient,environment,7,Environment,2,9,context_retrieval_date,date of retrieval from depositional context,MIXS:999999909,,"Date of excavation or retrieval from burial or depositional context, if known. If excavations were done during a  longer period, report its midpoint at a month or year level. In case no exact time is available, the date can be  right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23;  2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant.",{'value': '2001-09-25'},environment,,,,datetime,TRUE,FALSE,,,,year
Ancient,environment,8,Environment,2,10,stratigraph_context,stratigraphic context,MIXS:999999907,,"Associated stratigraphic context(s) that the sample was retrieved from, usually from an archaeological or palaeontological excavation. Description(s) or identifier(s) of stratigraphic units or layer names within and/or relative to the site (e.g., stratigraphic unit ID, archaeological feature ID, layer name or a description, grid location).",{'value': 'Black Mousterian (BM)'},environment,identifiers|excavation,TRUE,,string,FALSE,FALSE,,,Stratigraphic context that the sample was retrieved from,
